Model	Color	Retail_Price($)	Number_of_Sales	Avg_Sale_Price($)	Price_Premium (%)
adidas EQT Support Adv Gucci	Utility Black/Light Scarlet/Core Green 	110	558	109	5
adidas Ultra Boost Clima Solar Yellow	Cloud White/Cloud White/Solar Yellow 	200	552	117	-55
adidas NMD CS2 Primeknit Ronin Stripes	Collegiate Navy/Footwear White/Pale Nude 	180	532	139	-47
adidas NMD Racer Juice HK	Black/Black/White 	220	526	177	-48
adidas I-5923 Black Boost	Core Black/Running White/Copper Metallic 	130	507	93	-46
adidas Ultra Boost 4.0 Grey Four	Grey Four/Grey Four/Running White 	180	478	163	-27
adidas Iniki Runner Pride of the 70s USA	Off White/Collegiate Royal/Core Red 	130	467	144	-8
adidas Crazy BYW LVL 1 Black White	Core Black/Footwear White/Club Purple 	170	459	140	-49
adidas Ultra Boost 4.0 Parley Carbon Blue Spirit	Footwear White/Carbon/Blue Spirit 	180	448	135	-34
adidas Tennis HU Pharrell Multi-Color	Multi-Color/Multi-Color 	130	445	111	-35
adidas Solar Hu Glide Black	Footwear White/Core Black/Bold Green 	150	424	220	12
adidas NMD R1 Duck Camo Sesame	Sesame/Trace Cargo/Base Green 	130	412	90	-42
adidas EQT Support 93/17 White Royal	Footwear White/Royal/Core Black 	180	410	87	-61
adidas Yeezy Boost 750 Triple Black	Black/Black-Black 	350	408	953	153
adidas NMD CS1 Parley Blue Spirit	Core Black/Core Black/Blue Spirit 	220	400	115	-65
adidas Ultra Boost 4.0 Show Your Stripes Cloud White	Cloud White/Tech Ink/Ash Pearl 	180	392	140	-25
adidas NMD CS1 Gore-tex White	Core White/Core White/Core Black 	230	388	141	-30
adidas Ultra Boost Mid Run Thru Time	Blue/Blue/Footwear White 	200	384	218	8
adidas Ultra Boost 3.0 LGBT Pride	Core Black/Utility Black/Footwear White 	200	384	174	-25
adidas Dame 4 A Bathing Ape Black	Black/Grey/Black 	150	378	431	200
adidas Ultra Boost 4.0 Black Multi-Color	Core Black/Carbon/Ash Silver 	180	371	121	-39
