Model,Color,Retail_Price($),Release_Date,Number_of_Sales,Avg_Sale_Price($),Price Premium (%)
Nike React Hyperdunk 2017 Flyknit Off-White,White/White-White ,200,11/1/17,1727,479,218
Kobe 1 Protro Undefeated Camo,Deep Forest/Black-White ,180,2/16/18,1703,435,44
Nike Blazer Mid Off-White Grim Reaper,Black/White-Cone-Black ,130,10/3/18,1666,615,327
Jordan 11 Retro Low Rose Gold (W),Sail/Metallic Red Bronze-Gum Medium Brown ,175,4/13/18,1654,195,9
Air VaporMax Plus Triple Black,Black/Black-Dark Grey ,190,1/25/18,1629,215,15
Air Force 1 Low CLOT 1WORLD (2018),White/White-White ,200,2/1/18,1599,369,54
Jordan 5 Retro Grape Fresh Prince,White/New Emerald-Grape Ice-Black ,190,9/25/18,1571,254,13
Jordan 1 Retro Mid New Love (2017),Black/Varsity Maize-White ,110,6/1/17,1540,238,164
Kobe 1 Protro Think 16 (Close Out),White/Del Sol-Varsity Purple ,175,4/14/18,1538,196,-31
Jordan 18 Retro Toro,Gym Red/Black ,225,4/7/18,1538,275,-8
Jordan 1 Mid Gym Red Black,Gym Red/Black-White ,110,6/1/18,1507,125,-20
Jordan 13 Retro Alternate History of Flight,White/Metallic Silver-University Red ,190,7/22/17,1507,157,-26
Lunar Force 1 Low Acronym (AF100),White/White ,200,12/3/17,1452,263,20
Jordan 11 Retro Win Like 96 (GS),Gym Red/Black-White ,170,12/9/17,1435,193,35
Jordan 1 Retro High Pine Green (GS),Pine Green/Sail-Black ,120,9/22/18,1434,269,120
LeBron 16 1 Thru 5 (What The),Multi-Color/Multi-Color ,200,9/15/18,1429,317,94
Jordan 1 Retro High Gatorade Cyber,Cyber/Cyber ,175,12/26/17,1423,178,-25
Kyrie 4 Confetti,Multi-Color/Multi-Color ,120,12/16/17,1340,248,110
Kobe 1 Protro Black Maize,Black/White-Varsity Maize ,175,2/17/18,1328,233,-5
Kyrie 4 Cinnamon Toast Crunch,Metallic Gold Coin/White ,120,NaN ,1323,154,21
Air Max 270 Dusty Cactus,Black/White-Dusty Cactus ,150,3/22/18,1318,173,23
Jordan 1 Retro High Gatorade Orange Peel,Orange Peel/Orange Peel ,175,12/26/17,1307,125,-43
Jordan 13 Retro Altitude (2017),Black/Altitude Green ,190,12/21/17,1296,148,-25
Jordan 6 Retro Wheat,Golden Harvest/Golden Harvest-Sail ,190,11/24/17,1279,151,-24
Jordan 5 Retro International Flight,Sail/Racer Blue-Cone-Black ,190,8/25/18,1271,152,-28
Nike SB Gato Supreme White,White/White-Gym Red ,110,8/30/18,1230,154,32
Air Force 1 Low White (2016),White/White ,90,1/1/16,1186,80,-11
Air Max 1 Watermelon,Summit White/Kinetic Green-Pure Platinum-Sunset Pulse ,110,3/20/18,1162,132,9
Jordan 3 Retro Flyknit Black,Black/Black-Anthracite ,200,8/15/18,1146,243,5
Nike SB Dunk High Humidity,Metallic Gold/Metallic Gold-Black ,110,9/22/18,1086,213,71
 LeBron Icon John Elliott White ,White/Black ,250,8/4/18,1041,325,10
Air Force 1 High Just Don (AF100),White/White ,200,12/1/17,1016,233,-8
Jordan 12 Retro French Blue (2016),White/French Blue-Metallic Silver-Varsity Red ,190,4/2/16,989,235,32
Nike React Element 87 Undercover Volt,Volt/University Red-Black-White ,180,9/13/18,706,328,33
