Brand,Model,Color,Retail Price($),Number of Sales,Average Sale Price($),Price Premium(%)
Nike,Jordan 1 Retro High Game Royal,Game Royal/Black-Summit White ,160,16967,208,59
Nike,Jordan 1 Retro High Homage To Home (Non-numbered),Black/University Red-White ,160,22759,267,118
Nike,Jordan 4 Retro Travis Scott Cactus Jack,University Blue/Black-Varsity Red ,225,14849,382,233
Nike,Jordan 1 Retro High Bred Toe,Gym Red/Black-Summit White ,160,15956,303,178
Nike,Jordan 6 Retro Tinker (GS),White/Infrared 23-Neutral Grey-Obsidian ,140,87,121,-11
Nike,Jordan 1 Retro High Off-White University Blue,White/Dark Powder Blue-Cone ,190,15594,851,269
Nike,Jordan 3 Retro Black Cement (2018),Black/Fire Red-Cement Grey-White ,200,20333,243,18
Nike,Jordan 1 Retro High Pine Green (GS),Pine Green/Sail-Black ,120,1434,269,120
Nike,Jordan 1 Retro High NRG Patent Gold Toe,Black/Metallic Gold-Summit White ,160,10445,252,144
Nike,Jordan 12 Retro International Flight,College Navy/University Red-Sail ,200,2564,203,4
Nike,Jordan 5 Retro International Flight,Sail/Racer Blue-Cone-Black ,190,1271,152,-28
Nike,Jordan 3 Retro Tinker Hatfield,White/Black-Fire Red-Cement Grey ,200,8832,276,3
Nike,Jordan 5 Retro Wings (GS),Multi-Color/Multi-Color ,160,313,213,39
Nike,Jordan 4 Retro Raptors,Black/Court Purple-University Red ,200,2884,239,-10
Nike,Jordan 13 Retro He Got Game (2018),White/True Red-Black ,190,4475,208,31
Nike,Jordan 11 Retro Win Like 96,Gym Red/Black-White ,220,9403,256,1
Nike,Jordan 1 Retro High Clay Green,Summit White/Clay Green-Black ,160,6993,220,29
Nike,Jordan 1 Retro High Shadow 2018 (GS),Black/Medium Grey-White ,120,4099,142,50
Nike,Jordan 3 Retro JTH Bio Beige,Bio Beige/Bio Beige-Camellia-Opti Yellow ,250,2646,319,27
Nike,Jordan 1 Retro High Nigel Sylvester,Sail/White-Varsity Red-Reflect Silver ,180,3056,348,50
Nike,Jordan 13 Retro He Got Game 2018 (GS),White/True Red-Black ,140,3665,175,50
Nike,Jordan 10 Retro Tinker,Racer Blue/Team Orange-Black ,190,55,185,-3
Nike,Jordan 1 Retro Royal (2017),Black/Varsity Royal-White ,160,6935,271,56
Nike,Jordan 11 Retro Space Jam (2016),Black/Dark Concord-White ,220,5334,284,25
Nike,Jordan 1 Retro High Blue Moon,Summit White/Blue Moon-Black ,160,6510,231,140
Nike,Jordan 11 Retro Platinum Tint,Platinum Tint/Sail-University Red-Black ,220,36,313,25
Nike,Jordan 1 Mid Multi-Color Swoosh (GS),Black/White-University Red-Tour Yellow ,90,175,123,66
Nike,Jordan 11 Retro Cap and Gown,Black/Black-Black ,250,9767,324,28
Nike,Jordan 5 Retro Paris Saint-Germain,Black/Challenge Red-White ,225,1854,265,4
Nike,Jordan 1 Mid Gym Red Black (GS),Gym Red/Black-White ,90,250,101,9
Nike,Air Vapormax Off White 2018,White/Total Orange-Black ,250,5400,591,148
Nike,Air VaporMax Off-White Black,Black/Total Crimson-Clear ,250,4371,623,166
Nike,Air Force 1 Mid Supreme NBA Black,Black/Black ,165,4020,229,32
Nike,Air Max 97 Metallic Gold (2018),Metallic Gold/Varsity Red-White-Back ,160,3474,185,13
Nike,Cortez Kenny 3 Kendrick Lamar TDE the Championship,Black/White-Gym Red ,100,3455,160,85
Nike,Air Foamposite One Big Bang,Team Orange/Dark Grey-Black ,230,2998,503,161
Nike,Air Max 97 Off-White,White/Cone-Ice Blue ,190,1977,639,347
Nike,Blazer Mid Off-White,White/Black-Muslin ,130,1791,678,708
Nike,Zoom Fly Off-White,White/White-Muslin ,170,1752,522,404
Nike,React Hyperdunk 2017 Flyknit Off-White,White/White-White ,200,1727,479,218
Nike,Kobe 1 Protro Undefeated Camo,Deep Forest/Black-White ,180,1703,435,44
Nike,Air VaporMax Plus Triple Black,Black/Black-Dark Grey ,190,1629,215,15
Nike,Air Force 1 Low CLOT 1WORLD (2018),White/White-White ,200,1599,369,54
Nike,Kobe 1 Protro Think 16 (Close Out),White/Del Sol-Varsity Purple ,175,1538,196,-31
Nike,Lunar Force 1 Low Acronym (AF100),White/White ,200,1452,263,20
Nike,Kyrie 4 Confetti,Multi-Color/Multi-Color ,120,1340,248,110
Nike,Kobe 1 Protro Black Maize,Black/White-Varsity Maize ,175,1328,233,-5
Nike,Kyrie 4 Cinnamon Toast Crunch,Metallic Gold Coin/White ,120,1323,154,21
Nike,Air Max 270 Dusty Cactus,Black/White-Dusty Cactus ,150,1318,173,23
Nike,Air Max 1 Watermelon,Summit White/Kinetic Green-Pure Platinum-Sunset Pulse ,110,1162,132,9
Nike,LeBron Icon John Elliott White,White/Black ,250,1041,325,10
Nike,Air Force 1 High Just Don (AF100),White/White ,200,1016,233,-8
Nike,Jordan 1 Retro Mid New Love (2017),Black/Varsity Maize-White ,110,1540,238,164
Nike,Jordan 18 Retro Toro,Gym Red/Black ,225,1538,275,-8
Nike,Jordan 13 Retro Alternate History of Flight,White/Metallic Silver-University Red ,190,1507,157,-26
Nike,Jordan 1 Retro High Gatorade Cyber,Cyber/Cyber ,175,1423,178,-25
Nike,Jordan 11 Retro Win Like 96 (GS),Gym Red/Black-White ,170,1435,193,35
Nike,Jordan 12 Retro Flu Game (2016),Black/Varsity Red ,190,2344,286,46
Nike,Jordan 1 Retro High Gatorade Orange Peel,Orange Peel/Orange Peel ,175,1307,125,-43
Nike,Jordan 13 Retro Altitude (2017),Black/Altitude Green ,190,1296,148,-25
Nike,Jordan 6 Retro Wheat,Golden Harvest/Golden Harvest-Sail ,190,1279,151,-24
Adidas,Yeezy Boost 350 V2 Beluga 2.0,Grey/Bold Orange/Dark Grey ,220,37501,399,100
Adidas,Yeezy Boost 350 V2 Butter,Butter/Butter/Butter ,220,35599,277,17
Adidas,Yeezy 500 Blush,Blush/Blush/Blush ,200,34960,292,65
Adidas,Yeezy Boost 350 V2 Blue Tint,Blue Tint/Grey Three/High Risk Red ,220,32575,380,70
Adidas,Yeezy Wave Runner 700 Solid Grey,Solid Grey/Chalk White/Core Black ,300,29730,471,12
Adidas,Yeezy 500 Utility Black,Utility Black/Utility Black/Utility Black ,200,18032,273,60
Adidas,Yeezy Boost 350 V2 Cream/Triple White,Cream White/Cream White ,220,16920,368,9
