Model,Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
adidas Yeezy Boost 350 V2 Cream/Triple White,Cream White/Cream White ,$220 ,2017-04-29 ,16620,11.4%,$371
adidas Yeezy Boost 350 V2 Core Black White,Core Black/Core White/Core Black ,$220 ,2016-12-17 ,1714,309.1%,$751
