Brand,Model,Color,Model Color,Retail_Price ($),Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price ($)
Adidas,adidas Ultra Boost 4.0 Parley Carbon Blue Spirit,White,Footwear White/Carbon/Blue Spirit ,180,6/27/18,448,-0.34,135
Adidas,adidas Ultra Boost Uncaged Grey Two,Grey,Grey Two/Grey Two/Grey Four ,180,11/15/17,133,-0.53,98
Adidas,adidas Sobakov Black White Gum,Black,Core Black/Footwear White/Gum 3 ,140,6/21/18,365,-0.38,106
Adidas,adidas ACE 16+ Ultra Boost Triple White,White,Running White/Running White/Running White ,200,11/17/17,326,-0.37,131
Adidas,adidas NMD R1 Sashiko White,White,Running White/Core Black/Running White ,170,8/18/17,866,-0.43,111
Adidas,adidas Ultra Boost 4.0 Parley Carbon,Black,Carbon Carbon/Blue Spirit ,200,4/22/18,1054,-0.46,127
Adidas,adidas Ultra Boost 4.0 Grey Four,Grey,Grey Four/Grey Four/Running White ,180,2/21/18,478,-0.27,163
Adidas,adidas Solar Hu Glide Pharrell Core Black (W),Black,Core Black/Cloud White/Bright Cyan ,150,9/25/18,26,-0.27,137
Adidas,adidas NMD R1 SNS Datamosh 2.0 Blue Night,Black,Core Black/Blue Night/Core Blue ,179,9/22/18,49,-0.22,188
Adidas,adidas NMD CS2 Core Black Red Solid,Black,Core Black/Red Solid ,180,12/22/17,311,-0.61,104
Adidas,adidas Ultra Boost ATR Mid Burgundy,Red,Burgundy/Burgundy/Core Black ,240,10/5/17,261,-0.56,148
Adidas,adidas Crazy BYW X Black White,Black,Black/Black/White ,200,2/16/18,227,0.16,302
Adidas,adidas NMD R1 Clear Pink (W),Pink,Clear Pink/Footwear White/Core Black ,130,8/1/18,46,-0.46,91
Adidas,adidas Pharrell NMD HU China Pack Passion (Red),Red,Red/White ,250,5/12/18,568,0.32,455
Adidas,adidas EQT Support Adv Gucci,Black,Utility Black/Light Scarlet/Core Green ,110,1/1/17,558,0.05,109
Adidas,adidas NMD CS2 Primeknit Ronin Stripes,Blue,Collegiate Navy/Footwear White/Pale Nude ,180,4/6/17,532,-0.47,139
Adidas,adidas NMD Racer Juice HK,Black,Black/Black/White ,220,1/20/18,526,-0.48,177
Adidas,adidas NMD R1 Triple Solar Red,Red,Solar Red/Solar Red/Solar Red ,140,9/17/16,768,0.43,219
Adidas,adidas I-5923 Black Boost,Black,Core Black/Running White/Copper Metallic ,130,1/30/18,507,-0.46,93
Adidas,adidas Iniki Runner Pride of the 70s USA,White,Off White/Collegiate Royal/Core Red ,130,4/20/17,467,-0.08,144
Adidas,adidas Crazy BYW LVL 1 Black White,Black,Core Black/Footwear White/Club Purple ,170,2/15/18,459,-0.49,140
Adidas,adidas Tennis HU Pharrell Multi-Color,Multicolor,Multi-Color/Multi-Color ,130,7/28/17,445,-0.35,111
Adidas,adidas Yeezy Boost 750 Triple Black,Black,Black/Black-Black ,350,12/19/15,408,1.53,953
Adidas,adidas EQT Support 93/17 White Royal,White,Footwear White/Royal/Core Black ,180,8/31/17,410,-0.61,87
Adidas,adidas NMD CS1 Parley Blue Spirit,Black,Core Black/Core Black/Blue Spirit ,220,3/30/18,400,-0.65,115
