Model,Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
adidas Ultra Boost Mid Run Thru Time,Blue/Blue/Footwear White ,$200 ,2017-07-19 ,384,7.5%,$218
adidas Dame 4 A Bathing Ape Black,Black/Grey/Black ,$150 ,2018-02-16 ,378,200.0%,$431
