Model,Color,Model Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
adidas Ultra Boost 4.0 Parley Carbon Blue Spirit,White,Footwear White/Carbon/Blue Spirit ,$180 ,6/27/18,448,-33.90%,$135 
adidas Ultra Boost Uncaged Grey Two,Grey,Grey Two/Grey Two/Grey Four ,$180 ,11/15/17,133,-52.80%,$98 
adidas Sobakov Black White Gum,Black,Core Black/Footwear White/Gum 3 ,$140 ,6/21/18,365,-37.90%,$106 
adidas ACE 16+ Ultra Boost Triple White,White,Running White/Running White/Running White ,$200 ,11/17/17,326,-36.50%,$131 
adidas NMD R1 Sashiko White,White,Running White/Core Black/Running White ,$170 ,8/18/17,866,-42.90%,$111 
adidas Ultra Boost 4.0 Parley Carbon,Black,Carbon Carbon/Blue Spirit ,$200 ,4/22/18,1054,-45.50%,$127 
adidas Ultra Boost 4.0 Grey Four,Grey,Grey Four/Grey Four/Running White ,$180 ,2/21/18,478,-26.70%,$163 
adidas Solar Hu Glide Pharrell Core Black (W),Black,Core Black/Cloud White/Bright Cyan ,$150 ,9/25/18,26,-26.70%,$137 
adidas NMD R1 SNS Datamosh 2.0 Blue Night,Black,Core Black/Blue Night/Core Blue ,$179 ,9/22/18,49,-21.80%,$188 
adidas NMD CS2 Core Black Red Solid,Black,Core Black/Red Solid ,$180 ,12/22/17,311,-61.10%,$104 
adidas Ultra Boost ATR Mid Burgundy,Red,Burgundy/Burgundy/Core Black ,$240 ,10/5/17,261,-56.30%,$148 
adidas Crazy BYW X Black White,Black,Black/Black/White ,$200 ,2/16/18,227,15.50%,$302 
adidas NMD R1 Clear Pink (W),Pink,Clear Pink/Footwear White/Core Black ,$130 ,8/1/18,46,-46.20%,$91 
adidas Pharrell NMD HU China Pack Passion (Red),Red,Red/White ,$250 ,5/12/18,568,31.60%,$455 
adidas EQT Support Adv Gucci,Black,Utility Black/Light Scarlet/Core Green ,$110 ,1/1/17,558,4.50%,$109 
adidas NMD CS2 Primeknit Ronin Stripes,Blue,Collegiate Navy/Footwear White/Pale Nude ,$180 ,4/6/17,532,-47.20%,$139 
adidas NMD Racer Juice HK,Black,Black/Black/White ,$220 ,1/20/18,526,-47.70%,$177 
adidas NMD R1 Triple Solar Red,Red,Solar Red/Solar Red/Solar Red ,$140 ,9/17/16,768,42.90%,$219 
adidas I-5923 Black Boost,Black,Core Black/Running White/Copper Metallic ,$130 ,1/30/18,507,-46.20%,$93 
adidas Iniki Runner Pride of the 70s USA,White,Off White/Collegiate Royal/Core Red ,$130 ,4/20/17,467,-7.70%,$144 
adidas Crazy BYW LVL 1 Black White,Black,Core Black/Footwear White/Club Purple ,$170 ,2/15/18,459,-48.80%,$140 
adidas Tennis HU Pharrell Multi-Color,Multicolor,Multi-Color/Multi-Color ,$130 ,7/28/17,445,-35.40%,$111 
adidas Yeezy Boost 750 Triple Black,Black,Black/Black-Black ,$350 ,12/19/15,408,152.60%,$953 
adidas EQT Support 93/17 White Royal,White,Footwear White/Royal/Core Black ,$180 ,8/31/17,410,-61.10%,$87 
adidas NMD CS1 Parley Blue Spirit,Black,Core Black/Core Black/Blue Spirit ,$220 ,3/30/18,400,-64.50%,$115 
adidas NMD CS1 Gore-tex White,White,Core White/Core White/Core Black ,$230 ,11/17/17,388,-30.40%,$141 
adidas Ultra Boost 3.0 LGBT Pride,Black,Core Black/Utility Black/Footwear White ,$200 ,6/1/17,384,-25.00%,$174 
adidas Ultra Boost Mid Run Thru Time,Blue,Blue/Blue/Footwear White ,$200 ,7/19/17,384,7.50%,$218 
adidas Dame 4 A Bathing Ape Black,Black,Black/Grey/Black ,$150 ,2/16/18,378,200.00%,$431 
adidas ZX 500 Dragon Ball Z Son Goku,Orange,Orange/Collegiate Royal/Hi-Res Red ,$170 ,9/29/18,1610,87.60%,$317 
adidas Yung-1 Dragon Ball Z Frieza,White,Cloud White/Unity Purple/Clear Lilac ,$150 ,9/29/18,972,22.00%,$230 
adidas Ultra Boost 4.0 Breast Cancer Awareness,White,Cloud White/Core Black/Shock Pink ,$180 ,9/1/18,1393,-22.20%,$163 
adidas NMD R1 Core Black Lush Red,Black,Core Black/Core Black/Lush Red ,$150 ,9/6/18,618,-26.70%,$113 
adidas NMD R1 Duck Camo Core Black,Black,Core Black/Grey Four/Grey Five ,$130 ,8/1/18,367,-53.80%,$96 
